feature_removed,pipeline,seed,n_common,valid_solution,min_cluster_fraction,ari_after_removal,destabilization
TSH,median-robust-pca80-gmm,3,1286,True,0.3965785381026439,0.9844675859774721,0.007766207011263959
TSH,median-robust-pca80-gmm,4,1286,True,0.39580093312597203,0.987564014367952,0.006217992816023976
TSH,median-zscore-none-kmeans,0,1286,True,0.2978227060653188,0.9809116572029162,0.009544171398541912
TSH,median-zscore-none-kmeans,1,1286,True,0.30404354587869364,0.9651913852634334,0.0174043073682833
TSH,median-zscore-none-kmeans,2,1286,True,0.2986003110419907,0.9809116417220856,0.00954417913895722
TSH,median-zscore-none-kmeans,3,1286,True,0.2986003110419907,0.9809116417220856,0.00954417913895722
TSH,median-zscore-none-kmeans,4,1286,True,0.3009331259720062,0.9745992127875168,0.012700393606241589
FT4,median-zscore-pca80-gmm,0,1286,True,0.3297045101088647,0.8282524892073139,0.08587375539634307
FT4,median-zscore-pca80-gmm,1,1286,True,0.3297045101088647,0.8282524892073139,0.08587375539634307
FT4,median-zscore-pca80-gmm,2,1286,True,0.3297045101088647,0.8282524892073139,0.08587375539634307
FT4,median-zscore-pca80-gmm,3,1286,True,0.3297045101088647,0.8282524892073139,0.08587375539634307
FT4,median-zscore-pca80-gmm,4,1286,True,0.3297045101088647,0.8282524892073139,0.08587375539634307
FT4,median-robust-pca80-gmm,0,1286,True,0.3926905132192846,0.9752027540449999,0.012398622977500051
FT4,median-robust-pca80-gmm,1,1286,True,0.3926905132192846,0.9752027540449999,0.012398622977500051
FT4,median-robust-pca80-gmm,2,1286,True,0.3926905132192846,0.9752027540449999,0.012398622977500051
FT4,median-robust-pca80-gmm,3,1286,True,0.3926905132192846,0.9752027540449999,0.012398622977500051
FT4,median-robust-pca80-gmm,4,1286,True,0.3926905132192846,0.9752027540449999,0.012398622977500051
FT4,median-zscore-none-kmeans,0,1286,True,0.30404354587869364,0.9495777343248477,0.025211132837576145
FT4,median-zscore-none-kmeans,1,1286,True,0.3001555209953344,0.9620179800418313,0.018991009979084372
FT4,median-zscore-none-kmeans,2,1286,True,0.29937791601866254,0.9651486137789126,0.017425693110543705
FT4,median-zscore-none-kmeans,3,1286,True,0.30404354587869364,0.9464580216961176,0.026770989151941205
